--- Feature Importance and SHAP-Feature Correlation (Fold 0) ---

Correlation Threshold for Meaningful Features: 0.1

Feature                                                      Importance      Correlation     Meaningful (Corr > Threshold) 
MEGNet_MatMinerEncoded_v1_465                                0.000916        0.155278        Yes                           
MEGNet_MatMinerEncoded_v1_556                                0.000912        -0.056849       No                            
MVL16_logG_MP_2019_14                                        0.000912        -0.043373       No                            
MEGNet_MatMinerEncoded_v1_280                                0.000911        0.026323        No                            
MEGNet_OFMEncoded_v1_96                                      0.000910        0.009037        No                            
MVL32_Bandgap_classifier_MP_2018_31                          0.000909        -0.024859       No                            
MEGNet_MatMinerEncoded_v1_754                                0.000908        -0.106691       Yes                           
MEGNet_MatMinerEncoded_v1_684                                0.000907        0.043174        No                            
MVL16_Bandgap_classifier_MP_2018_6                           0.000907        0.016019        No                            
MEGNet_MatMinerEncoded_v1_357                                0.000906        0.032052        No                            
MEGNet_MatMinerEncoded_v1_149                                0.000906        -0.024518       No                            
MEGNet_MatMinerEncoded_v1_72                                 0.000905        0.066760        No                            
MEGNet_MatMinerEncoded_v1_411                                0.000904        -0.078864       No                            
MEGNet_MatMinerEncoded_v1_610                                0.000903        0.006531        No                            
MVL16_Bandgap_classifier_MP_2018_8                           0.000902        0.110323        Yes                           
MEGNet_MatMinerEncoded_v1_245                                0.000901        0.194354        Yes                           
MEGNet_MatMinerEncoded_v1_372                                0.000900        0.009867        No                            
MEGNet_MatMinerEncoded_v1_313                                0.000899        -0.091604       No                            
MEGNet_MatMinerEncoded_v1_487                                0.000899        -0.135223       Yes                           
MEGNet_MatMinerEncoded_v1_300                                0.000898        -0.066010       No                            
MVL32_Eform_MP_2019_17                                       0.000896        0.003132        No                            
MEGNet_OFMEncoded_v1_136                                     0.000896        0.094424        No                            
MEGNet_MatMinerEncoded_v1_672                                0.000894        -0.088941       No                            
SISSO_noemd_hse_pbe_diff_9                                   0.000893        0.144483        Yes                           
ROOST_oqmd_eform_LayerMaterialPooling_#39                    0.000891        -0.046618       No                            
MEGNet_MatMinerEncoded_v1_341                                0.000887        0.018942        No                            
MEGNet_MatMinerEncoded_v1_485                                0.000887        -0.015268       No                            
MEGNet_MatMinerEncoded_v1_735                                0.000886        0.148102        Yes                           
MVL32_Efermi_MP_2019_27                                      0.000886        -0.032648       No                            
MVL32_Efermi_MP_2019_25                                      0.000884        -0.040751       No                            
MEGNet_OFMEncoded_v1_12                                      0.000884        0.149876        Yes                           
SISSO_matbench_mp_gap_18                                     0.000884        0.104092        Yes                           
MEGNet_OFMEncoded_v1_180                                     0.000884        -0.073606       No                            
MEGNet_MatMinerEncoded_v1_565                                0.000883        -0.025626       No                            
MEGNet_MatMinerEncoded_v1_426                                0.000882        -0.026829       No                            
MEGNet_MatMinerEncoded_v1_68                                 0.000882        -0.000197       No                            
SISSO_matbench_expt_gap_9                                    0.000880        0.199862        Yes                           
MEGNet_MatMinerEncoded_v1_416                                0.000880        -0.222149       Yes                           
MEGNet_MatMinerEncoded_v1_712                                0.000879        -0.121378       Yes                           
MEGNet_MatMinerEncoded_v1_481                                0.000878        -0.029540       No                            
MVL32_Bandgap_MP_2018_19                                     0.000878        -0.053087       No                            
MVL32_logK_MP_2019_29                                        0.000878        -0.018771       No                            
MVL32_Bandgap_MP_2018_2                                      0.000878        -0.046900       No                            
MEGNet_MatMinerEncoded_v1_434                                0.000874        0.062547        No                            
MEGNet_OFMEncoded_v1_88                                      0.000871        -0.070684       No                            
