--- Feature Importance and SHAP-Feature Correlation (Fold 0) ---

Correlation Threshold for Meaningful Features: 0.1

Feature                                                      Importance      Correlation     Meaningful (Corr > Threshold) 
coGN_ReadoutComponent2_Feature77_fold0                       0.004797        -0.031666       No                            
SISSOlvl2_clustertop_coGNperovsk_31                          0.004789        -0.187544       Yes                           
ORB_v3_layer_1_90                                            0.004788        0.165091        Yes                           
ORB_v3_layer_3_230                                           0.004784        0.074514        No                            
ORB_v3_layer_4_132                                           0.004774        -0.030970       No                            
coGN_ReadoutComponent3_Feature15_fold0                       0.004769        0.074438        No                            
coGN_ReadoutComponent4_Feature38_fold0                       0.004751        -0.019051       No                            
coGN_ReadoutComponent1_Feature116_fold0                      0.004751        -0.052367       No                            
coGN_ReadoutComponent2_Feature56_fold0                       0.004750        0.112530        Yes                           
coGN_ReadoutComponent1_Feature63_fold0                       0.004749        0.005606        No                            
coGN_ReadoutComponent3_Feature104_fold0                      0.004747        0.041743        No                            
coGN_ReadoutComponent3_Feature96_fold0                       0.004738        -0.131189       Yes                           
coGN_ReadoutComponent3_Feature64_fold0                       0.004732        -0.163807       Yes                           
ORB_v3_layer_3_173                                           0.004729        0.159580        Yes                           
coGN_ReadoutComponent1_Feature53_fold0                       0.004717        -0.012494       No                            
coGN_ReadoutComponent4_Feature92_fold0                       0.004717        -0.174158       Yes                           
coGN_ReadoutComponent4_Feature41_fold0                       0.004710        -0.041329       No                            
coGN_ReadoutComponent3_Feature74_fold0                       0.004708        0.117421        Yes                           
ORB_v3_layer_1_64                                            0.004704        -0.174690       Yes                           
coGN_ReadoutComponent3_Feature65_fold0                       0.004694        0.070671        No                            
coGN_ReadoutComponent3_Feature114_fold0                      0.004690        0.023355        No                            
ORB_v3_initial_atom_embedding_45                             0.004683        0.005180        No                            
coGN_ReadoutComponent1_Feature111_fold0                      0.004681        -0.165280       Yes                           
ORB_v3_layer_4_214                                           0.004666        -0.122887       Yes                           
ORB_v3_layer_1_29                                            0.004658        -0.007534       No                            
ORB_v3_layer_3_115                                           0.004654        0.015425        No                            
ORB_v3_layer_1_144                                           0.004653        -0.026524       No                            
coGN_ReadoutComponent4_Feature71_fold0                       0.004626        0.176769        Yes                           
coGN_ReadoutComponent2_Feature59_fold0                       0.004618        0.061895        No                            
ORB_v3_layer_2_232                                           0.004615        0.134579        Yes                           
ORB_v3_layer_3_192                                           0.004601        -0.036388       No                            
coGN_ReadoutComponent2_Feature51_fold0                       0.004598        -0.039920       No                            
ORB_v3_layer_3_45                                            0.004588        -0.019539       No                            
coGN_ReadoutComponent3_Feature69_fold0                       0.004574        0.100137        Yes                           
ORB_v3_initial_atom_embedding_244                            0.004571        -0.030994       No                            
coGN_ReadoutComponent1_Feature8_fold0                        0.004570        0.207678        Yes                           
ORB_v3_layer_3_96                                            0.004556        -0.051996       No                            
ORB_v3_layer_1_136                                           0.004554        -0.151965       Yes                           
ORB_v3_encoder_node_features_181                             0.004553        -0.088401       No                            
coGN_ReadoutComponent1_Feature101_fold0                      0.004547        0.201249        Yes                           
ORB_v3_layer_4_131                                           0.004547        0.260078        Yes                           
ORB_v3_layer_3_48                                            0.004546        -0.064219       No                            
ORB_v3_layer_2_45                                            0.004542        -0.058595       No                            
MVL32_Eform_MP_2019_22                                       0.004538        -0.127739       Yes                           
ORB_v3_layer_5_112                                           0.004528        0.135141        Yes                           
coGN_ReadoutComponent3_Feature29_fold0                       0.004518        0.164470        Yes                           
ORB_v3_layer_3_58                                            0.004516        0.006270        No                            
coGN_ReadoutComponent3_Feature77_fold0                       0.004508        0.198054        Yes                           
ROOST_oqmd_eform_LayerMaterialPooling_#57                    0.004508        0.003404        No                            
coGN_ReadoutComponent2_Feature49_fold0                       0.004499        0.121412        Yes                           
coGN_ReadoutComponent3_Feature127_fold0                      0.004492        0.112865        Yes                           
coGN_ReadoutComponent1_Feature119_fold0                      0.004492        0.000724        No                            
ORB_v3_initial_atom_embedding_119                            0.004490        -0.012685       No                            
ORB_v3_initial_atom_embedding_99                             0.004487        0.061220        No                            
coGN_ReadoutComponent1_Feature1_fold0                        0.004481        -0.093808       No                            
coGN_ReadoutComponent1_Feature110_fold0                      0.004474        -0.066108       No                            
ORB_v3_layer_2_63                                            0.004467        0.046678        No                            
ROOST_mpgap_LayerMaterialPooling_#09                         0.004462        0.029960        No                            
ORB_v3_layer_3_31                                            0.004458        -0.019398       No                            
ORB_v3_initial_atom_embedding_150                            0.004442        0.002709        No                            
ORB_v3_layer_1_176                                           0.004428        0.049726        No                            
coGN_ReadoutComponent4_Feature77_fold0                       0.004425        0.156759        Yes                           
ORB_v3_layer_4_36                                            0.004424        -0.023965       No                            
ORB_v3_layer_3_166                                           0.004410        -0.030033       No                            
coGN_ReadoutComponent3_Feature80_fold0                       0.004408        -0.186339       Yes                           
ORB_v3_initial_atom_embedding_235                            0.004397        -0.138214       Yes                           
ORB_v3_initial_atom_embedding_21                             0.004397        -0.085469       No                            
ORB_v3_initial_atom_embedding_5                              0.004387        0.000244        No                            
coGN_ReadoutComponent4_Feature91_fold0                       0.004385        0.075412        No                            
coGN_ReadoutComponent3_Feature58_fold0                       0.004376        0.106723        Yes                           
coGN_ReadoutComponent4_Feature7_fold0                        0.004375        -0.005709       No                            
ORB_v3_layer_3_101                                           0.004368        0.032522        No                            
coGN_ReadoutComponent2_Feature98_fold0                       0.004367        -0.049178       No                            
ORB_v3_layer_4_138                                           0.004358        -0.042422       No                            
ORB_v3_layer_5_61                                            0.004357        0.036382        No                            
coGN_ReadoutComponent2_Feature69_fold0                       0.004345        0.028030        No                            
coGN_ReadoutComponent3_Feature67_fold0                       0.004340        -0.051696       No                            
coGN_ReadoutComponent1_Feature2_fold0                        0.004335        -0.020053       No                            
ORB_v3_layer_4_128                                           0.004333        -0.025721       No                            
coGN_ReadoutComponent4_Feature80_fold0                       0.004328        -0.008764       No                            
ORB_v3_layer_2_214                                           0.004327        -0.079759       No                            
coGN_ReadoutComponent3_Feature2_fold0                        0.004326        0.275489        Yes                           
coGN_ReadoutComponent4_Feature53_fold0                       0.004322        -0.029295       No                            
ORB_v3_layer_4_145                                           0.004321        0.019449        No                            
ORB_v3_layer_3_153                                           0.004321        -0.121363       Yes                           
ORB_v3_layer_2_46                                            0.004314        0.141093        Yes                           
coGN_ReadoutComponent2_Feature72_fold0                       0.004313        -0.029219       No                            
coGN_ReadoutComponent1_Feature94_fold0                       0.004304        0.041500        No                            
coGN_ReadoutComponent4_Feature5_fold0                        0.004304        -0.082489       No                            
ORB_v3_layer_3_93                                            0.004304        -0.008299       No                            
coGN_ReadoutComponent2_Feature32_fold0                       0.004288        0.001656        No                            
coGN_ReadoutComponent2_Feature40_fold0                       0.004287        -0.064557       No                            
coGN_ReadoutComponent1_Feature108_fold0                      0.004277        -0.043033       No                            
coGN_ReadoutComponent3_Feature6_fold0                        0.004274        0.110168        Yes                           
ORB_v3_layer_4_118                                           0.004274        0.016433        No                            
ORB_v3_layer_5_1                                             0.004271        -0.016532       No                            
coGN_ReadoutComponent3_Feature116_fold0                      0.004267        -0.019727       No                            
ORB_v3_layer_2_131                                           0.004267        0.071803        No                            
ORB_v3_layer_1_130                                           0.004266        -0.119993       Yes                           
OFM:_f^7_-_f^14                                              0.004261        -0.034560       No                            
ORB_v3_layer_4_20                                            0.004258        -0.230520       Yes                           
SISSO_matbench_perovskites_11                                0.004257        -0.081619       No                            
coGN_ReadoutComponent3_Feature121_fold0                      0.004255        -0.021024       No                            
coGN_ReadoutComponent4_Feature6_fold0                        0.004251        -0.089667       No                            
XRDPowderPattern_xrd_121                                     0.004249        0.006022        No                            
SISSO_matbench_perovskites_16                                0.004248        0.104325        Yes                           
coGN_ReadoutComponent3_Feature57_fold0                       0.004246        -0.156695       Yes                           
coGN_ReadoutComponent1_Feature43_fold0                       0.004245        -0.016735       No                            
MVL32_Eform_MP_2019_16                                       0.004241        0.150904        Yes                           
ORB_v3_layer_2_208                                           0.004241        -0.019291       No                            
ORB_v3_layer_2_179                                           0.004239        0.022280        No                            
ORB_v3_initial_atom_embedding_162                            0.004237        0.136044        Yes                           
coGN_ReadoutComponent2_Feature119_fold0                      0.004235        0.141817        Yes                           
coGN_ReadoutComponent3_Feature81_fold0                       0.004229        -0.028504       No                            
OFM:_d^9_-_f^7                                               0.004225        0.010407        No                            
coGN_ReadoutComponent1_Feature34_fold0                       0.004223        0.137263        Yes                           
ORB_v3_initial_atom_embedding_248                            0.004218        -0.026500       No                            
coGN_ReadoutComponent3_Feature40_fold0                       0.004216        0.050138        No                            
ORB_v3_layer_3_73                                            0.004215        -0.037254       No                            
coGN_ReadoutComponent2_Feature36_fold0                       0.004213        0.036934        No                            
ORB_v3_layer_2_76                                            0.004211        -0.074192       No                            
coGN_ReadoutComponent4_Feature75_fold0                       0.004208        0.044791        No                            
ORB_v3_initial_atom_embedding_55                             0.004207        0.039139        No                            
XRDPowderPattern_xrd_22                                      0.004195        -0.025914       No                            
ORB_v3_initial_atom_embedding_163                            0.004193        0.035660        No                            
ORB_v3_layer_3_130                                           0.004187        0.035122        No                            
ORB_v3_layer_1_4                                             0.004177        0.050714        No                            
coGN_ReadoutComponent3_Feature75_fold0                       0.004175        0.106758        Yes                           
ORB_v3_layer_4_208                                           0.004170        0.041223        No                            
XRDPowderPattern_xrd_116                                     0.004170        0.011410        No                            
coGN_ReadoutComponent1_Feature35_fold0                       0.004168        0.071328        No                            
ORB_v3_initial_atom_embedding_243                            0.004166        0.058902        No                            
coGN_ReadoutComponent3_Feature78_fold0                       0.004165        -0.088436       No                            
ROOST_oqmd_eform_LayerMaterialPooling_#19                    0.004162        0.014407        No                            
coGN_ReadoutComponent1_Feature19_fold0                       0.004162        -0.002517       No                            
ROOST_mpgap_LayerMaterialPooling_#24                         0.004155        0.046993        No                            
ORB_v3_layer_2_227                                           0.004154        -0.117657       Yes                           
coGN_ReadoutComponent2_Feature111_fold0                      0.004152        -0.165497       Yes                           
ORB_v3_layer_4_194                                           0.004150        -0.063884       No                            
coGN_ReadoutComponent3_Feature93_fold0                       0.004150        0.100088        Yes                           
ORB_v3_layer_4_64                                            0.004142        0.056056        No                            
OFM:_f^1_-_f^14                                              0.004138        0.214684        Yes                           
ROOST_mpgap_LayerMaterialPooling_#21                         0.004137        -0.029110       No                            
ORB_v3_layer_2_114                                           0.004134        0.030231        No                            
ORB_v3_layer_1_110                                           0.004134        0.071632        No                            
coGN_ReadoutComponent3_Feature97_fold0                       0.004133        0.248056        Yes                           
coGN_ReadoutComponent3_Feature85_fold0                       0.004108        -0.106317       Yes                           
ORB_v3_encoder_node_features_231                             0.004103        -0.068684       No                            
coGN_ReadoutComponent3_Feature21_fold0                       0.004097        -0.030490       No                            
coGN_ReadoutComponent1_Feature23_fold0                       0.004096        0.066775        No                            
ORB_v3_layer_4_211                                           0.004094        -0.112362       Yes                           
ORB_v3_layer_1_233                                           0.004094        0.000919        No                            
ORB_v3_layer_3_33                                            0.004093        -0.020803       No                            
coGN_ReadoutComponent4_Feature126_fold0                      0.004091        -0.015881       No                            
ORB_v3_initial_atom_embedding_147                            0.004085        -0.158981       Yes                           
coGN_ReadoutComponent2_Feature116_fold0                      0.004079        0.075145        No                            
coGN_ReadoutComponent2_Feature14_fold0                       0.004076        -0.081039       No                            
ORB_v3_encoder_node_features_251                             0.004068        -0.007598       No                            
coGN_ReadoutComponent3_Feature128_fold0                      0.004066        0.175457        Yes                           
ORB_v3_initial_atom_embedding_85                             0.004064        0.125845        Yes                           
ORB_v3_layer_4_115                                           0.004061        0.019297        No                            
ORB_v3_encoder_node_features_184                             0.004060        -0.019163       No                            
coGN_ReadoutComponent4_Feature62_fold0                       0.004059        0.065413        No                            
ORB_v3_layer_4_124                                           0.004051        -0.086236       No                            
coGN_ReadoutComponent1_Feature29_fold0                       0.004044        -0.024588       No                            
coGN_ReadoutComponent4_Feature39_fold0                       0.004034        -0.047126       No                            
coGN_ReadoutComponent4_Feature116_fold0                      0.004025        0.155690        Yes                           
coGN_ReadoutComponent1_Feature42_fold0                       0.004024        -0.029999       No                            
coGN_ReadoutComponent2_Feature27_fold0                       0.004016        -0.034430       No                            
coGN_ReadoutComponent1_Feature31_fold0                       0.004014        0.012734        No                            
coGN_ReadoutComponent4_Feature73_fold0                       0.004012        -0.205977       Yes                           
ROOST_mpgap_LayerMaterialPooling_#44                         0.004006        0.039347        No                            
coGN_ReadoutComponent1_Feature97_fold0                       0.004004        -0.042921       No                            
ORB_v3_layer_3_217                                           0.004002        -0.136681       Yes                           
coGN_ReadoutComponent3_Feature123_fold0                      0.003998        -0.164187       Yes                           
ORB_v3_initial_atom_embedding_39                             0.003992        -0.025792       No                            
MVL16_Eform_MP_2019_6                                        0.003988        0.167506        Yes                           
coGN_ReadoutComponent3_Feature32_fold0                       0.003987        -0.036648       No                            
ORB_v3_layer_4_67                                            0.003981        0.089774        No                            
coGN_ReadoutComponent3_Feature24_fold0                       0.003978        0.204192        Yes                           
ORB_v3_layer_2_220                                           0.003976        0.007160        No                            
coGN_ReadoutComponent1_Feature9_fold0                        0.003968        0.173031        Yes                           
ORB_v3_encoder_node_features_2                               0.003966        0.031089        No                            
ORB_v3_layer_1_166                                           0.003966        -0.096440       No                            
coGN_ReadoutComponent3_Feature83_fold0                       0.003966        -0.057546       No                            
coGN_ReadoutComponent3_Feature30_fold0                       0.003963        -0.045670       No                            
coGN_ReadoutComponent1_Feature113_fold0                      0.003962        -0.098036       No                            
coGN_ReadoutComponent4_Feature81_fold0                       0.003960        -0.230023       Yes                           
XRDPowderPattern_xrd_64                                      0.003957        0.015602        No                            
ROOST_mpgap_LayerMaterialPooling_#30                         0.003957        -0.015623       No                            
ORB_v3_layer_2_177                                           0.003956        -0.141132       Yes                           
coGN_ReadoutComponent4_Feature93_fold0                       0.003952        -0.177266       Yes                           
coGN_ReadoutComponent1_Feature89_fold0                       0.003952        -0.014902       No                            
ORB_v3_layer_4_141                                           0.003950        0.197262        Yes                           
